Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787310585,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787310586,2,POST,POST /predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,334.9084719957318,379.97899299807614,334.9084719957318,425.04951400042046,44.0
1787310586,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,334.9084719957318,379.97899299807614,334.9084719957318,425.04951400042046,44.0
1787310587,4,POST,POST /predict,0.000000,0.000000,98,98,170,170,170,170,170,170,170,170,170,5,0,170,225.23816479952075,94.48600099858595,425.04951400042046,44.0
1787310587,4,,Aggregated,0.000000,0.000000,98,98,170,170,170,170,170,170,170,170,170,5,0,170,225.23816479952075,94.48600099858595,425.04951400042046,44.0
1787310588,6,POST,POST /predict,0.000000,0.000000,190,190,300,300,470,470,470,470,470,470,470,8,0,190,260.3297748737532,94.48600099858595,466.8791410003905,44.0
1787310588,6,,Aggregated,0.000000,0.000000,190,190,300,300,470,470,470,470,470,470,470,8,0,190,260.3297748737532,94.48600099858595,466.8791410003905,44.0
1787310589,8,POST,POST /predict,2.500000,0.000000,190,230,300,300,350,470,470,470,470,470,470,13,0,200,241.1227202302633,94.48600099858595,466.8791410003905,44.0
1787310589,8,,Aggregated,2.500000,0.000000,190,230,300,300,350,470,470,470,470,470,470,13,0,200,241.1227202302633,94.48600099858595,466.8791410003905,44.0
1787310590,10,POST,POST /predict,2.500000,0.000000,200,280,300,350,420,470,470,470,470,470,470,19,0,230,249.7019765781404,94.48600099858595,466.8791410003905,44.0
1787310590,10,,Aggregated,2.500000,0.000000,200,280,300,350,420,470,470,470,470,470,470,19,0,230,249.7019765781404,94.48600099858595,466.8791410003905,44.0
1787310591,10,POST,POST /predict,2.666667,0.000000,230,280,300,350,420,470,470,470,470,470,470,20,0,230,251.60764184911386,94.48600099858595,466.8791410003905,44.0
