Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /predict,757,0,290,372.48716249149004,83.44883300014772,1795.9084339963738,44.0,4.217216600178436,0.0,290,390,460,510,700,880,1200,1400,1800,1800,1800
,Aggregated,757,0,290,372.48716249149004,83.44883300014772,1795.9084339963738,44.0,4.217216600178436,0.0,290,390,460,510,700,880,1200,1400,1800,1800,1800
